x_r y_r z_r a_r b_r c_r x_c y_c z_c a_c b_c c_c
0.700496 -0.496931 1.41065 1.57015 -0.000620255 -0.000886809 0.700609 -0.492194 1.41023 1.57091 -0.000185846 0.000118397
0.700526 -0.496555 1.41067 1.57007 -0.000772174 -0.000960517 0.700611 -0.491589 1.41022 1.5709 -0.000200645 0.000118852
0.700536 -0.496183 1.4107 1.57007 -0.000951423 -0.00105689 0.70061 -0.490957 1.41022 1.5709 -0.000218468 0.00011931
0.700563 -0.495769 1.41075 1.57016 -0.00108186 -0.00117718 0.700607 -0.490299 1.41021 1.57089 -0.000239588 0.00011978
0.700583 -0.495335 1.4108 1.57013 -0.001157 -0.00128604 0.700601 -0.489615 1.41021 1.57088 -0.000264825 0.000120273
0.70062 -0.494846 1.41085 1.57011 -0.00123337 -0.00140313 0.700591 -0.488904 1.4102 1.57087 -0.000293194 0.000120784
0.700662 -0.494325 1.41095 1.57011 -0.00129908 -0.00162297 0.700578 -0.488163 1.4102 1.57086 -0.000323453 0.000121377
0.700691 -0.493777 1.41104 1.57032 -0.00134607 -0.00182573 0.700561 -0.487394 1.4102 1.57085 -0.000357913 0.000121965
0.700722 -0.493214 1.41112 1.57042 -0.0013873 -0.0019489 0.700542 -0.486596 1.4102 1.57083 -0.000398205 0.00012257
0.700765 -0.492615 1.41119 1.57049 -0.00143455 -0.00205301 0.70052 -0.48577 1.4102 1.57082 -0.000444125 0.000123222
0.700807 -0.491995 1.4113 1.57046 -0.00151609 -0.00223805 0.700494 -0.484915 1.4102 1.5708 -0.000495677 0.000123878
0.700844 -0.491345 1.4114 1.57053 -0.00166513 -0.00246608 0.700466 -0.484033 1.4102 1.57078 -0.000553685 0.000124529
0.700868 -0.490683 1.41152 1.57063 -0.00187105 -0.00276478 0.700435 -0.483123 1.4102 1.57076 -0.000618466 0.000125194
0.700909 -0.489972 1.41167 1.57079 -0.00211942 -0.00311729 0.700401 -0.482186 1.41021 1.57074 -0.00068914 0.000125875
0.700941 -0.489244 1.41182 1.57097 -0.00232319 -0.00342128 0.700363 -0.481222 1.41021 1.57072 -0.000764576 0.000126595
0.700993 -0.488474 1.41194 1.5711 -0.0025164 -0.0036756 0.70032 -0.480229 1.41021 1.57069 -0.0008434 0.000127396
0.701034 -0.487682 1.4121 1.57112 -0.00268491 -0.00397293 0.700273 -0.479208 1.41022 1.57066 -0.000928715 0.000128243
0.701065 -0.486862 1.41224 1.57118 -0.0027728 -0.0042396 0.700222 -0.478156 1.41022 1.57063 -0.00101807 0.00012919
0.701098 -0.486005 1.41238 1.57136 -0.00292985 -0.00453692 0.700168 -0.477073 1.41023 1.57061 -0.0011093 0.000130278
0.701117 -0.485158 1.41251 1.57143 -0.0031901 -0.00479452 0.700113 -0.475956 1.41024 1.57058 -0.00119966 0.000131528
0.701133 -0.484298 1.41267 1.57156 -0.00347394 -0.00513747 0.700057 -0.474806 1.41025 1.57055 -0.00129164 0.000132877
0.70117 -0.483373 1.41278 1.57158 -0.00376158 -0.00539049 0.699999 -0.473624 1.41025 1.57052 -0.00138741 0.000134284
0.701193 -0.482427 1.41295 1.57168 -0.00398127 -0.0057581 0.699939 -0.47241 1.41026 1.57049 -0.00148723 0.000135699
0.701209 -0.48144 1.41309 1.57181 -0.00416188 -0.00606652 0.699879 -0.471162 1.41026 1.57045 -0.00158858 0.000137225
0.701228 -0.480428 1.41326 1.57198 -0.00438888 -0.00642137 0.699818 -0.469881 1.41027 1.57042 -0.00169374 0.000138789
0.70124 -0.4794 1.41345 1.57202 -0.00465641 -0.00679843 0.699759 -0.468564 1.41027 1.57039 -0.00180151 0.000140453
0.701247 -0.478341 1.41365 1.57216 -0.00499586 -0.00721206 0.699702 -0.467208 1.41028 1.57035 -0.0019044 0.000142378
0.70125 -0.477268 1.41384 1.57221 -0.00531925 -0.00758308 0.699651 -0.465811 1.41028 1.57032 -0.00199554 0.000144722
0.701264 -0.476129 1.41399 1.57238 -0.00553048 -0.00795599 0.699605 -0.464373 1.41029 1.5703 -0.00208608 0.00014719
0.701234 -0.47501 1.41414 1.5724 -0.00578396 -0.00831562 0.699562 -0.462898 1.4103 1.57027 -0.00218038 0.00014969
0.701227 -0.473836 1.41431 1.57253 -0.00609786 -0.00870916 0.699521 -0.461387 1.41031 1.57023 -0.00227783 0.000152239
0.701221 -0.47263 1.41448 1.57253 -0.00645953 -0.00910363 0.699479 -0.459842 1.41032 1.5702 -0.00238067 0.000154768
0.701225 -0.471403 1.41467 1.57259 -0.00677154 -0.00947551 0.699436 -0.458263 1.41033 1.57017 -0.00249022 0.00015724
0.701225 -0.47015 1.41485 1.57269 -0.00702686 -0.00980997 0.699392 -0.456651 1.41033 1.57013 -0.00260615 0.000159698
0.701253 -0.468813 1.41508 1.57276 -0.00730604 -0.010265 0.699347 -0.455005 1.41034 1.57009 -0.00272385 0.00016229
0.701244 -0.467504 1.41524 1.57281 -0.00766386 -0.0105917 0.699303 -0.453323 1.41035 1.57006 -0.00284017 0.000165108
0.70126 -0.466116 1.41544 1.57294 -0.0079547 -0.0110221 0.699257 -0.451605 1.41035 1.57002 -0.00295642 0.000168116
0.70127 -0.464706 1.41563 1.57293 -0.0082522 -0.0113988 0.699212 -0.449852 1.41036 1.56998 -0.00307573 0.000171249
0.701273 -0.463269 1.41578 1.57306 -0.00864529 -0.0116948 0.699167 -0.448065 1.41037 1.56994 -0.00319793 0.000174463
0.701276 -0.461817 1.41595 1.57313 -0.00903111 -0.0119767 0.69912 -0.446245 1.41037 1.5699 -0.00332372 0.000177743
0.701301 -0.460288 1.41617 1.57335 -0.00932527 -0.0123612 0.69907 -0.444394 1.41038 1.56986 -0.00345451 0.000181044
0.701324 -0.45872 1.41639 1.57344 -0.00963467 -0.0127709 0.699019 -0.442512 1.41039 1.56982 -0.00358998 0.000184356
0.701335 -0.457144 1.41662 1.57357 -0.00995618 -0.0132131 0.698966 -0.440599 1.4104 1.56978 -0.00372997 0.000187686
0.701304 -0.455587 1.41678 1.57354 -0.0103481 -0.0135657 0.698911 -0.438658 1.41041 1.56973 -0.00387523 0.000191027
0.701304 -0.453949 1.41697 1.57359 -0.0107042 -0.0139267 0.698853 -0.436689 1.41041 1.56968 -0.00402485 0.00019441
0.701266 -0.452332 1.41712 1.57359 -0.0110213 -0.0142548 0.698794 -0.43469 1.41042 1.56964 -0.00417933 0.000197833
0.701225 -0.45068 1.41723 1.57368 -0.0114359 -0.0145345 0.698731 -0.432664 1.41043 1.56959 -0.00433843 0.000201351
0.70124 -0.44894 1.41741 1.57375 -0.0118117 -0.0148183 0.698664 -0.43061 1.41044 1.56953 -0.00450336 0.000204916
0.701247 -0.447198 1.41756 1.57383 -0.0121843 -0.0149611 0.698594 -0.428529 1.41045 1.56948 -0.00467168 0.000208604
0.701273 -0.445414 1.41774 1.57393 -0.0126082 -0.015236 0.698523 -0.42642 1.41047 1.56943 -0.00484239 0.000212465
0.701256 -0.443602 1.41793 1.57393 -0.0129118 -0.0156042 0.698448 -0.424285 1.41048 1.56937 -0.0050212 0.000216265
0.701212 -0.441794 1.41805 1.57381 -0.0132209 -0.0158898 0.698367 -0.422125 1.41049 1.56931 -0.00521315 0.000219875
0.701164 -0.439968 1.41821 1.57385 -0.0135875 -0.0162719 0.698279 -0.419943 1.4105 1.56925 -0.00541732 0.000223349
0.701121 -0.438099 1.41835 1.57386 -0.0139529 -0.0165661 0.698188 -0.417735 1.41051 1.56919 -0.00562505 0.000226984
0.701108 -0.436181 1.41851 1.57394 -0.014281 -0.0167601 0.698096 -0.4155 1.41052 1.56912 -0.00583528 0.000230747
0.701075 -0.43429 1.41862 1.57381 -0.0147441 -0.0168087 0.698003 -0.413239 1.41054 1.56905 -0.00604987 0.000234606
0.701017 -0.432356 1.41877 1.57377 -0.0151208 -0.0170954 0.697908 -0.410951 1.41055 1.56898 -0.00627062 0.000238463
0.700951 -0.430384 1.41887 1.57375 -0.015448 -0.017341 0.697809 -0.408637 1.41057 1.56891 -0.00650087 0.000242153
0.700879 -0.428396 1.41895 1.5736 -0.0158116 -0.0175751 0.697709 -0.4063 1.41058 1.56884 -0.00674121 0.000245586
0.70084 -0.426338 1.41903 1.57365 -0.0161745 -0.017672 0.697608 -0.403938 1.4106 1.56876 -0.00699333 0.00024869
0.700826 -0.424278 1.41915 1.57364 -0.0165635 -0.0176899 0.697505 -0.401552 1.41062 1.56868 -0.00725616 0.000251554
0.700782 -0.422222 1.41924 1.57359 -0.0169841 -0.0177128 0.6974 -0.399141 1.41064 1.5686 -0.00752499 0.000254346
0.700734 -0.420045 1.41935 1.5737 -0.0173208 -0.0180229 0.697296 -0.396703 1.41066 1.56851 -0.0077954 0.000257254
0.700655 -0.417921 1.41946 1.57365 -0.0176829 -0.0182692 0.697194 -0.394232 1.41068 1.56843 -0.00806224 0.00026058
0.70061 -0.415747 1.41957 1.57359 -0.0180685 -0.0184109 0.697098 -0.391724 1.4107 1.56835 -0.0083261 0.000264231
0.700615 -0.413517 1.41965 1.57364 -0.0184985 -0.0182549 0.697005 -0.38918 1.41071 1.56827 -0.00858694 0.000268137
0.700558 -0.411328 1.41972 1.57349 -0.0188954 -0.0182272 0.696914 -0.3866 1.41073 1.56818 -0.00884439 0.000272171
0.700493 -0.409068 1.41981 1.57349 -0.0192277 -0.0184404 0.696828 -0.383986 1.41074 1.56811 -0.00909547 0.000276326
0.700372 -0.40683 1.41988 1.57336 -0.019549 -0.0186686 0.696746 -0.381335 1.41075 1.56803 -0.00933895 0.0002806
0.700303 -0.404554 1.41995 1.57337 -0.0199592 -0.0187062 0.696671 -0.378648 1.41075 1.56795 -0.0095749 0.000284982
0.700264 -0.402254 1.42003 1.5732 -0.0203048 -0.0185879 0.696602 -0.375923 1.41076 1.56788 -0.00980183 0.000289476
0.700171 -0.399927 1.4201 1.57311 -0.0206395 -0.0186519 0.69654 -0.37316 1.41077 1.56781 -0.0100199 0.000294063
0.700053 -0.397583 1.42022 1.57286 -0.0209432 -0.0190068 0.696483 -0.370361 1.41077 1.56774 -0.0102343 0.00029849
0.699963 -0.395194 1.42032 1.57276 -0.0212044 -0.0191981 0.696433 -0.367527 1.41078 1.56768 -0.0104434 0.000302846
0.699904 -0.392766 1.42035 1.5726 -0.0214539 -0.0189991 0.696388 -0.364659 1.41079 1.56761 -0.0106446 0.000307198
0.699857 -0.390302 1.42039 1.57259 -0.0217453 -0.0188512 0.696349 -0.361757 1.4108 1.56755 -0.0108384 0.000311506
0.699754 -0.387828 1.42043 1.57256 -0.0219954 -0.018947 0.696315 -0.358822 1.41081 1.56749 -0.0110299 0.000315518
0.699655 -0.385343 1.42049 1.57235 -0.0222752 -0.0190977 0.696288 -0.355856 1.41081 1.56742 -0.0112188 0.000319259
0.699581 -0.382791 1.42049 1.57214 -0.0225616 -0.0190306 0.696267 -0.352859 1.41082 1.56736 -0.0114029 0.000322834
0.699572 -0.380188 1.42046 1.57203 -0.0228512 -0.0186824 0.696251 -0.349831 1.41083 1.5673 -0.0115821 0.000326197
0.699577 -0.377528 1.42045 1.57198 -0.0231357 -0.0184141 0.696238 -0.346776 1.41084 1.56724 -0.0117552 0.000329389
0.699494 -0.374917 1.42039 1.57184 -0.0233804 -0.0182559 0.696225 -0.343693 1.41084 1.56719 -0.0119188 0.0003325
0.699431 -0.372258 1.4204 1.57159 -0.0236264 -0.0182545 0.696216 -0.340581 1.41085 1.56714 -0.0120668 0.000335852
0.699374 -0.369566 1.42037 1.5715 -0.0238734 -0.0181122 0.696209 -0.337435 1.41085 1.56709 -0.0121967 0.000339638
0.699328 -0.366871 1.42035 1.57127 -0.0240454 -0.0179913 0.696206 -0.334255 1.41086 1.56705 -0.0123127 0.000343518
0.699312 -0.364079 1.42034 1.57123 -0.0242248 -0.0179216 0.696209 -0.331039 1.41087 1.56701 -0.0124099 0.000347671
0.699248 -0.361334 1.42026 1.5709 -0.0243938 -0.0176956 0.696219 -0.327788 1.41087 1.56698 -0.0124871 0.000351914
0.699222 -0.358529 1.42023 1.57058 -0.0245532 -0.017445 0.696236 -0.324505 1.41087 1.56695 -0.0125511 0.000355763
0.69922 -0.355636 1.42014 1.57041 -0.0247332 -0.0170642 0.69626 -0.321193 1.41087 1.56693 -0.0126092 0.000358829
0.699166 -0.352783 1.42002 1.57022 -0.0247914 -0.016829 0.696289 -0.317853 1.41086 1.5669 -0.0126616 0.000361069
0.699158 -0.349807 1.41994 1.57028 -0.024849 -0.0166612 0.696322 -0.314488 1.41086 1.56688 -0.0127073 0.000362567
0.699151 -0.346842 1.41984 1.57011 -0.0249752 -0.0163286 0.696357 -0.311099 1.41085 1.56685 -0.0127517 0.000363146
0.699149 -0.343885 1.41979 1.56989 -0.0251103 -0.0160753 0.696394 -0.307688 1.41085 1.56683 -0.0128001 0.000362658
0.699153 -0.34083 1.41968 1.56969 -0.0251586 -0.0158728 0.696436 -0.304256 1.41084 1.5668 -0.012849 0.00036145
0.699202 -0.33778 1.4195 1.56955 -0.0251812 -0.0153301 0.69648 -0.300803 1.41083 1.56678 -0.0128954 0.000359751
0.699269 -0.334704 1.41942 1.56937 -0.0252629 -0.0148856 0.696526 -0.29733 1.41083 1.56675 -0.0129339 0.000357874
0.699307 -0.331548 1.41927 1.5694 -0.0252675 -0.0145175 0.696576 -0.293832 1.41083 1.56673 -0.0129569 0.000356267
0.699298 -0.328422 1.41917 1.5692 -0.0252384 -0.0144786 0.696629 -0.290307 1.41083 1.56672 -0.0129621 0.000355079
0.69934 -0.325206 1.41904 1.56911 -0.0252132 -0.014215 0.696685 -0.286756 1.41083 1.56671 -0.0129552 0.000353815
0.699391 -0.322006 1.41887 1.5688 -0.0251896 -0.0136572 0.696745 -0.283183 1.41083 1.5667 -0.0129389 0.000352218
0.69945 -0.318702 1.41872 1.56891 -0.0251435 -0.0132908 0.696808 -0.279584 1.41084 1.5667 -0.0129085 0.000350449
0.699503 -0.31541 1.41863 1.56894 -0.0250611 -0.013091 0.696875 -0.27596 1.41084 1.5667 -0.0128611 0.000348589
0.699593 -0.312054 1.41848 1.56903 -0.0249562 -0.0125837 0.696946 -0.27231 1.41084 1.5667 -0.0127988 0.000346397
0.699664 -0.308706 1.41832 1.56882 -0.024821 -0.0121057 0.69702 -0.268638 1.41085 1.56671 -0.0127265 0.000343467
0.699733 -0.305304 1.41815 1.56884 -0.0246681 -0.0117945 0.697099 -0.264945 1.41085 1.56672 -0.0126493 0.000339565
0.699793 -0.301856 1.41803 1.56893 -0.0244671 -0.0116366 0.697183 -0.261231 1.41085 1.56673 -0.0125645 0.000334928
0.699925 -0.29836 1.41788 1.5691 -0.0242624 -0.0111671 0.697272 -0.257496 1.41085 1.56674 -0.0124713 0.000329625
0.70003 -0.294909 1.41769 1.56895 -0.0241114 -0.0105261 0.697364 -0.253742 1.41084 1.56675 -0.0123701 0.000323736
0.700141 -0.291428 1.41752 1.56893 -0.0239296 -0.0100933 0.69746 -0.249968 1.41084 1.56677 -0.0122607 0.000317303
0.700206 -0.287963 1.41733 1.56873 -0.0237647 -0.00977363 0.697558 -0.246177 1.41083 1.56678 -0.0121425 0.000310422
0.700292 -0.284448 1.41719 1.56878 -0.0235232 -0.00947087 0.69766 -0.242367 1.41082 1.5668 -0.0120145 0.000303234
0.700401 -0.280874 1.41708 1.56884 -0.0233149 -0.0091631 0.697766 -0.238539 1.41082 1.56682 -0.011879 0.00029565
0.700485 -0.277307 1.4169 1.56876 -0.0231155 -0.00875178 0.697875 -0.234696 1.41081 1.56685 -0.0117364 0.000287651
0.700577 -0.273662 1.41678 1.56886 -0.02284 -0.00856033 0.697986 -0.230839 1.4108 1.56687 -0.0115839 0.000279398
0.700656 -0.270068 1.41666 1.56876 -0.0226094 -0.00832555 0.698099 -0.226968 1.4108 1.5669 -0.0114195 0.000270965
0.700807 -0.266351 1.4165 1.56899 -0.0223008 -0.00789804 0.698213 -0.223084 1.41079 1.56694 -0.0112437 0.000262332
0.700908 -0.262678 1.41632 1.56902 -0.0219918 -0.00746774 0.698329 -0.219187 1.41078 1.56697 -0.0110559 0.000253499
0.701013 -0.258963 1.41615 1.56919 -0.0216696 -0.00717297 0.698445 -0.215279 1.41078 1.56701 -0.0108555 0.000244491
0.701135 -0.255183 1.41594 1.56914 -0.0213484 -0.00679221 0.698561 -0.21136 1.41077 1.56706 -0.0106422 0.000235287
0.701274 -0.251372 1.41581 1.56932 -0.0209978 -0.00649383 0.698677 -0.207433 1.41076 1.5671 -0.0104176 0.000225726
0.701415 -0.247614 1.41569 1.56942 -0.0206664 -0.00616423 0.698792 -0.203499 1.41076 1.56715 -0.0101839 0.000215715
0.701535 -0.243855 1.41547 1.56944 -0.0203301 -0.00572279 0.698907 -0.19956 1.41075 1.5672 -0.00994348 0.000205098
0.701638 -0.240108 1.41526 1.56927 -0.0199599 -0.00542795 0.69902 -0.195618 1.41074 1.56725 -0.00969795 0.000193801
0.701751 -0.236324 1.41502 1.56927 -0.0195079 -0.00502404 0.699131 -0.191675 1.41073 1.5673 -0.00944878 0.000181817
0.701902 -0.23253 1.41482 1.56919 -0.0191336 -0.00445731 0.69924 -0.187733 1.41072 1.56735 -0.00919806 0.00016908
0.702056 -0.228682 1.41463 1.56928 -0.0186879 -0.00392011 0.699347 -0.183793 1.41071 1.56741 -0.00894686 0.000155591
0.702169 -0.224869 1.41441 1.56916 -0.0182044 -0.00346554 0.699451 -0.179857 1.4107 1.56746 -0.00869514 0.000141446
0.702273 -0.221034 1.41423 1.56929 -0.0177862 -0.0032496 0.699553 -0.175925 1.41069 1.56751 -0.00844366 0.000126649
0.702383 -0.217149 1.41402 1.56935 -0.017257 -0.00296463 0.699651 -0.172 1.41068 1.56756 -0.00819444 0.000111167
