x_r y_r z_r a_r b_r c_r x_c y_c z_c a_c b_c c_c
0.701033 -0.494513 1.41027 1.56957 -0.000480961 -0.000115226 0.701287 -0.488199 1.41011 1.57103 0.000229917 1.57884e-05
0.701105 -0.493846 1.41041 1.57021 -0.000482601 -0.000519863 0.700189 -0.486459 1.41012 1.57112 -3.66297e-05 -1.91093e-05
0.701211 -0.493231 1.41064 1.57042 -0.00051319 -0.00107333 0.700189 -0.486459 1.41012 1.57112 -3.66297e-05 -1.91093e-05
0.701274 -0.492669 1.4108 1.57068 -0.000594568 -0.00138396 0.701395 -0.484747 1.41003 1.57081 -0.000138354 0.000132234
0.701238 -0.491984 1.41077 1.5703 -0.000561682 -0.00127327 0.701548 -0.484452 1.41011 1.5714 7.39531e-06 -0.00013264
0.701251 -0.491284 1.4108 1.57026 -0.000634718 -0.00137244 0.701548 -0.484452 1.41011 1.5714 7.39531e-06 -0.00013264
0.701407 -0.490502 1.41092 1.57022 -0.000877533 -0.0016665 0.700538 -0.481528 1.40996 1.57098 4.05989e-05 6.57455e-06
0.701555 -0.489825 1.41113 1.57112 -0.00117792 -0.00219998 0.700538 -0.481528 1.40996 1.57098 4.05989e-05 6.57455e-06
0.701649 -0.489128 1.41128 1.57143 -0.00139876 -0.00255685 0.701097 -0.479996 1.40998 1.57106 -8.17675e-06 5.26324e-05
0.701664 -0.488223 1.41119 1.57046 -0.00145908 -0.00234154 0.70035 -0.478073 1.41026 1.5709 0.000110679 2.21244e-05
0.701712 -0.4873 1.4112 1.57053 -0.00155054 -0.00235456 0.700914 -0.477235 1.41015 1.57083 -0.000459331 0.000108101
0.701798 -0.486277 1.41129 1.57072 -0.00156457 -0.00248197 0.701092 -0.476308 1.41 1.5709 -7.89641e-05 3.69749e-05
0.701859 -0.485159 1.41138 1.57084 -0.00156209 -0.002521 0.700315 -0.474569 1.41017 1.57101 -0.000127991 8.53278e-05
0.701922 -0.484114 1.41162 1.57163 -0.00177985 -0.00314564 0.701102 -0.473312 1.41021 1.5706 0.000148784 -0.000141985
0.701961 -0.483103 1.41192 1.57203 -0.00198756 -0.00394333 0.701409 -0.472849 1.41013 1.57156 0.000112361 9.85676e-05
0.702001 -0.482005 1.41208 1.57169 -0.00223606 -0.00421091 0.700667 -0.470612 1.40997 1.57099 6.19183e-05 6.15164e-05
0.702114 -0.480935 1.41233 1.57196 -0.00252841 -0.00465154 0.700876 -0.46984 1.41004 1.5711 5.92269e-05 8.67575e-05
0.702214 -0.479893 1.41259 1.57253 -0.00283044 -0.00518164 0.700522 -0.467729 1.41021 1.57083 6.48567e-05 -1.85407e-05
0.702255 -0.478727 1.41266 1.57212 -0.00305111 -0.00541065 0.701164 -0.466685 1.41007 1.57078 -0.000432666 0.000147177
0.702275 -0.477569 1.4128 1.57214 -0.00337203 -0.00569547 0.700384 -0.465129 1.41011 1.57111 0.000206491 -6.48596e-05
0.702314 -0.47629 1.41291 1.57217 -0.00364467 -0.00590819 0.700895 -0.464018 1.41004 1.57116 7.23607e-05 6.24141e-05
